id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Name,2-picolinic acid,Acetone,Benzophenone,BioPerformance Certified,Brilliant Cresyl Blue ALD,Coumarin,Cystamine dihydrochloride,D-(+)-Xylose,Dimethyl methyl phosphonate,Ethylene glycol,Glycerol,Glycine,Isonicotinic,L-Alanine,L-Arginine,L-proline,Lead 2 chromate,Malachite_Green_chloride,Mefenamic acid,Melamine,Methyl salicyate,Pluronic F-127,Poly(methyl methacrylate),Poly(vinyl chloride),Poly(vinyl_alcohol),Polystyrene standard,Potassium hydroxide,Pyrene,Sodium acetate,Sodium hydroxide,Sodium yttrium oxyfluoride,Sucrose,Sulfanilic acid,Titanium(IV) oxide,Trans-Stilbene,Trimesic acid,Trisodium citrate dihydrate,Urea,慣-D-glucose,"1,2,4-Triazole",2-Aminopyridine,2-Benzoylbenzoic,5-methyl-1h-benzotriazole,Adenine,Benzotriazole,Cerium oxide,L-Lysine,Lead oxide,Poly(allyamine hydrochloride),Poly(ethylene oxide),Potassium permanganate,Trans-Aconitic acid,Trizma pre-set crystals
Excitation,785,785,785,532,532,532,785,785,785,785,532,785,785,785,785,785,785,532,532,532,532,785,532,532,785,532,532,785,785,532,532,785,532,785,532,532,532,532,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
239,-0.263458068,-1.91067273,-2.763381676,0.306397016,-0.292179329,-0.338438323,0.40860855,-15.91570566,0.0187619,-0.35040402,-4.815102221,-0.220008704,0.727134036,-0.309877962,-0.272087784,-0.363882464,-0.202075222,-0.877209853,-0.488373367,-0.196145484,-0.433821421,-0.586653839,-0.356821877,-0.201762397,-0.424824817,-0.049908547,-2.338736445,-0.211637779,-0.086462923,7.010697211,-1.101601676,0.972037307,0.213885726,-0.210680031,-0.237418325,1.59422199,-0.216148315,-0.068351293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
240,-0.273528537,4.394009722,1.446901301,0.322040568,-0.296607062,-0.33955975,0.336902151,5.274988402,0.012108194,-0.349217329,7.112461772,-0.225335546,0.72302938,-0.323424613,-0.290609606,-0.357488195,-0.203283721,-0.767812587,-0.518152095,-0.183966197,-0.438243297,-0.463833682,-0.348046985,-0.203038144,-0.390294264,-0.041870754,-1.739734067,-0.21477454,-0.081678994,5.936648479,-0.823149522,0.844435458,0.13732313,-0.212864707,-0.202317805,1.428759599,-0.222965963,-0.070388459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
241,-0.291248954,6.339770276,2.745601454,0.337676078,-0.301035129,-0.340681557,0.270693915,11.88380591,-0.001683424,-0.348030649,10.79468407,-0.235527674,0.658766817,-0.340681612,-0.304701569,-0.351545741,-0.205205766,-0.658409773,-0.547931074,-0.171791269,-0.442667035,-0.391029286,-0.339271854,-0.204314803,-0.355763215,-0.033841759,-1.140708355,-0.218984987,-0.077833573,4.862529639,-0.54468902,0.678179554,0.060753499,-0.215918805,-0.167219435,1.263273386,-0.229790523,-0.072427379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
242,-0.310074525,6.236306825,2.676406093,0.353295506,-0.30546387,-0.341804121,0.227235298,11.63396333,-0.017364971,-0.346844004,10.60332855,-0.246337047,0.545836239,-0.358911054,-0.311930252,-0.346869943,-0.207037309,-0.548991469,-0.577710486,-0.159625061,-0.447094501,-0.338503876,-0.330496134,-0.205593286,-0.321231027,-0.025830362,-0.541618472,-0.222311252,-0.075797627,3.788213735,-0.26620678,0.484868601,-0.0158302,-0.218981743,-0.132125366,1.097739521,-0.236628908,-0.07446981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
243,-0.319514183,6.140419988,2.615654913,0.36889081,-0.309893623,-0.342927824,0.259659293,11.39656247,-0.027508198,-0.345657447,10.43658672,-0.250842321,0.356464765,-0.374228747,-0.301165962,-0.346159062,-0.207258981,-0.439544558,-0.607490146,-0.147471932,-0.451527556,-0.273732226,-0.321719471,-0.206874505,-0.286697258,-0.01784536,0.05758783,-0.220408326,-0.078905476,2.713517635,0.012313412,0.258320841,-0.092435003,-0.220524161,-0.097037748,0.932134197,-0.243488032,-0.07651751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
244,-0.327178059,6.023281745,2.550939891,0.343418783,-0.315704757,-0.344299196,0.320631721,11.11739264,-0.037952885,-0.344571425,10.2391687,-0.254605589,0.140387818,-0.388537578,-0.283551315,-0.346666831,-0.207095842,-0.358344981,-0.608268569,-0.12902137,-0.455096264,-0.219244387,-0.314877243,-0.205610063,-0.25216201,-0.017999359,0.510696414,-0.216787705,-0.084375251,2.084076281,0.267720063,0.025113588,-0.14555034,-0.22184255,-0.069639431,0.749574328,-0.257252602,-0.081624357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
245,-0.335509537,5.903058122,2.486336453,0.28246156,-0.322709611,-0.345885082,0.391656635,10.83757515,-0.050607679,-0.343572356,10.03487245,-0.259096104,-0.074603108,-0.401219228,-0.264953321,-0.34888318,-0.207410671,-0.301522174,-0.583994684,-0.105138001,-0.457921252,-0.194157965,-0.309705395,-0.202148156,-0.217626277,-0.025197182,0.837690779,-0.21205765,-0.090892235,1.838906011,0.503181945,-0.212516068,-0.178387024,-0.22326748,-0.048886231,0.552332815,-0.276992577,-0.08937632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
246,-0.347079497,5.79302563,2.425349349,0.22145609,-0.32971649,-0.347473244,0.464103221,10.59149001,-0.068672582,-0.342573646,9.838995347,-0.266076424,-0.263729823,-0.410579241,-0.249678282,-0.35444812,-0.20927667,-0.244622252,-0.559715602,-0.081280792,-0.460757278,-0.235875836,-0.304531522,-0.198691721,-0.183092289,-0.032447798,1.164968075,-0.20594463,-0.098075237,1.592635008,0.738718009,-0.455669869,-0.211265915,-0.225140175,-0.028145932,0.35494837,-0.296774028,-0.097138815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
247,-0.35875455,5.682171965,2.365302364,0.160394332,-0.336725675,-0.34906406,0.534566636,10.35023551,-0.088958269,-0.341575386,9.640005165,-0.273846281,-0.42315643,-0.417242089,-0.234800281,-0.361161796,-0.211702257,-0.187628766,-0.535427845,-0.057454101,-0.463605895,-0.308372236,-0.299355268,-0.19524167,-0.148563856,-0.039760005,1.492571847,-0.198706256,-0.106469322,1.344983442,0.974327598,-0.677411902,-0.244194047,-0.227223971,-0.007420685,0.157397161,-0.316603868,-0.104913602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
