id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Name,2-picolinic acid,Acetone,Benzophenone,BioPerformance Certified,Brilliant Cresyl Blue ALD,Coumarin,Cystamine dihydrochloride,D-(+)-Xylose,Dimethyl methyl phosphonate,Ethylene glycol,Glycerol,Glycine,Isonicotinic,L-Alanine,L-Arginine,L-proline,Lead 2 chromate,Malachite_Green_chloride,Mefenamic acid,Melamine,Methyl salicyate,Pluronic F-127,Poly(methyl methacrylate),Poly(vinyl chloride),Poly(vinyl_alcohol),Polystyrene standard,Potassium hydroxide,Pyrene,Sodium acetate,Sodium hydroxide,Sodium yttrium oxyfluoride,Sucrose,Sulfanilic acid,Titanium(IV) oxide,Trans-Stilbene,Trimesic acid,Trisodium citrate dihydrate,Urea,α-D-glucose,"1,2,4-Triazole",2-Aminopyridine,2-Benzoylbenzoic,5-methyl-1h-benzotriazole,Adenine,Benzotriazole,Cerium oxide,L-Lysine,Lead oxide,Poly(allyamine hydrochloride),Poly(ethylene oxide),Potassium permanganate,Trans-Aconitic acid,Trizma pre-set crystals
Excitation,785,785,785,532,532,532,785,785,785,785,532,785,785,785,785,785,785,532,532,532,532,785,532,532,785,532,532,785,785,532,532,785,532,785,532,532,532,532,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
239,14.3208019,-6489.473629,-14665.99306,4745.178024,100.0009736,212.4812501,2096.641105,-17733.32198,1528.86386,5.129817661,-9279.009479,535.7639447,5047.77017,54.33812385,524.4820277,17.12830142,34.38942672,-173.144969,187.2240104,812.4695484,282.1736193,-106.1931362,-61.29246514,186.7482821,-7.466079522,7058.276061,-432.3884718,59.52118283,93.84256907,278.6017156,-876.5890263,5203.183148,5971.840076,4.848444711,2.635438271,25755.05869,616.0163565,462.685959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
240,5.186327794,18133.94818,10071.21912,4867.66787,82.54015375,191.9008871,1861.884483,6142.421248,1485.286081,25.96749181,15272.24041,500.7834842,5027.804933,32.37961959,466.5351084,30.22476124,15.52689152,-138.4579976,-56.94767225,901.7065166,107.5481691,-58.48641332,-32.99674825,183.3122448,-2.211411564,7247.257794,-321.644175,-56.78843658,100.921503,235.9195386,-576.3148083,4741.527497,5104.652449,-33.74604474,1251.689717,23554.93013,555.312496,449.0107573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
241,-10.88707345,25733.26555,17701.63765,4990.094752,65.07801445,171.313555,1645.12807,13588.63464,1394.959267,46.80498049,22851.58853,433.8535189,4715.228915,4.406809762,422.4473383,42.39583518,-14.47284549,-103.7692669,-301.121414,990.9115406,-67.15085492,-30.20718557,-4.700260654,179.8737512,3.043332009,7436.032666,-210.8955643,-212.9098504,106.6116972,193.2345755,-276.0315874,4140.023847,4237.385154,-87.69972682,2500.66747,21354.4848,494.5470957,435.32378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
242,-27.96291083,25329.18109,17295.08533,5112.395708,47.61321631,150.7123146,1502.850698,13307.13478,1292.254555,67.6418487,22457.70951,362.870214,4165.929466,-25.1422849,399.8318567,51.97259733,-43.05998616,-69.07562463,-545.2987054,1080.052676,-241.9970565,-9.804873414,23.59812822,176.4303451,8.29824892,7624.393796,-100.1350895,-336.246156,109.624352,150.5417812,24.27507387,3440.636692,3369.958497,-141.8095742,3749.492188,19153.40586,433.658596,421.6132316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
243,-36.5252045,24954.68768,16938.14618,5234.507774,30.14442991,130.0901868,1609.002276,13039.65313,1225.822509,88.47716357,22114.4944,333.2848448,3244.818037,-49.97156774,433.5087527,53.4285918,-46.51990228,-34.3729119,-789.4780314,1169.097978,-417.0640093,15.3542147,51.89955594,172.9795701,13.55340647,7812.13431,10.64690888,-265.6865888,105.0255675,107.8338781,324.6226614,2621.000813,2502.292819,-169.0579394,4998.087356,16951.37674,372.585437,407.8673165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
244,-43.47676505,24497.19527,16557.91776,5035.060438,7.228145832,104.9228626,1808.617394,12725.11,1157.416086,107.5471558,21708.13656,308.5721065,2193.809976,-73.165531,488.6175055,52.38860272,-43.97359569,-8.626679506,-795.8607371,1304.284234,-557.9967772,36.51878838,73.9631601,176.3851601,18.80878898,7808.513548,94.41818137,-131.4356567,96.93176408,82.82018323,600.0453194,1777.271293,1900.680995,-192.3485952,5973.058257,14523.90557,250.0266691,373.5857892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
245,-51.03387797,24027.65267,16178.34495,4557.762116,-20.39558535,75.81877274,2041.142932,12409.83715,1074.534781,125.0902861,21287.62082,279.0836643,1148.084373,-93.72190822,546.8027345,47.84917417,-48.88750821,9.390325316,-596.826196,1479.276357,-669.5591039,46.26304368,90.64041827,185.7092988,24.06424528,7639.280879,154.8733021,43.95253907,87.28837199,73.07723529,853.9601543,917.5417933,1528.755707,-217.5213942,6711.562214,11901.2148,74.26331247,321.547974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
246,-61.52847413,23597.91232,15820.01964,4080.086015,-48.02730304,46.67291814,2278.322821,12132.57083,956.2205191,142.6271053,20884.43475,233.2450934,228.1634587,-108.8940632,594.5918487,36.45131028,-78.01246165,27.43178155,-397.7490458,1654.076815,-781.5573539,30.05867667,107.324208,195.0186998,29.3194361,7468.806971,215.3807312,270.620428,76.65945147,63.29054476,1107.954984,37.82627611,1156.352359,-250.6044289,7449.60708,9276.623472,-101.8693326,269.4394554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
